Jaegersborggade, 9x7, amateur, d = 4

[95mAlphaBeta[0m
         2488808989 function calls (1150783720 primitive calls) in 3296.220 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       78    0.000    0.000    0.001    0.000 cookies.py:460(merge_cookies)
       39    0.000    0.000    0.000    0.000 cookies.py:78(get_new_headers)
        1    0.000    0.000 3296.190 3296.190 copenbægent.py:103(go_to_location)
        1    0.000    0.000    0.024    0.024 copenbægent.py:229(papersoccer_enter)
        1    0.000    0.000    0.010    0.010 copenbægent.py:234(papersoccer_leave)
       33    0.001    0.000    9.691    0.294 copenbægent.py:241(papersoccer_play)
        1    0.000    0.000 3296.179 3296.179 copenbægent.py:246(papersoccer_compete)
        1    0.000    0.000 3296.190 3296.190 copenbægent.py:265(go_to_papersoccer_location)
        1    0.000    0.000 3296.220 3296.220 copenbægent.py:334(main)
       39    0.001    0.000    9.765    0.250 copenbægent.py:50(call_api)
        1    0.000    0.000    0.006    0.006 copenbægent.py:66(environment_leave)
        1    0.000    0.000    0.012    0.012 copenbægent.py:75(map_enter)
        1    0.000    0.000    0.011    0.011 copenbægent.py:83(map_bike)
        1    0.000    0.000    0.011    0.011 copenbægent.py:97(map_leave)
1207816166/1958184 1830.568    0.000 3110.139    0.002 copy.py:137(deepcopy)
1074659654   89.240    0.000   89.240    0.000 copy.py:192(_deepcopy_atomic)
133156512/1958184  654.783    0.000 3101.945    0.002 copy.py:240(_deepcopy_dict)
133156512  100.630    0.000  131.881    0.000 copy.py:254(_keep_alive)
        2    0.000    0.000    0.000    0.000 cp1252.py:18(encode)
       39    0.000    0.000    0.002    0.000 decoder.py:334(decode)
       39    0.002    0.000    0.002    0.000 decoder.py:345(raw_decode)
      156    0.000    0.000    0.001    0.000 enum.py:209(__call__)
      156    0.000    0.000    0.000    0.000 enum.py:453(__new__)
       78    0.000    0.000    0.000    0.000 feedparser.py:122(pushlines)
       78    0.000    0.000    0.000    0.000 feedparser.py:125(__iter__)
      390    0.001    0.000    0.001    0.000 feedparser.py:128(__next__)
       39    0.001    0.000    0.001    0.000 feedparser.py:139(__init__)
       39    0.000    0.000    0.000    0.000 feedparser.py:148(<lambda>)
       39    0.000    0.000    0.012    0.000 feedparser.py:175(feed)
       78    0.000    0.000    0.012    0.000 feedparser.py:180(_call_parse)
       39    0.000    0.000    0.002    0.000 feedparser.py:186(close)
       39    0.000    0.000    0.000    0.000 feedparser.py:199(_new_message)
       39    0.000    0.000    0.000    0.000 feedparser.py:209(_pop_message)
       78    0.002    0.000    0.012    0.000 feedparser.py:217(_parsegen)
       39    0.002    0.000    0.005    0.000 feedparser.py:470(_parse_headers)
       39    0.000    0.000    0.000    0.000 feedparser.py:53(__init__)
       39    0.000    0.000    0.000    0.000 feedparser.py:69(close)
      390    0.001    0.000    0.001    0.000 feedparser.py:75(readline)
       39    0.000    0.000    0.001    0.000 feedparser.py:98(push)
       78    0.000    0.000    0.005    0.000 genericpath.py:16(exists)
      117    0.000    0.000    0.000    0.000 hooks.py:20(default_hooks)
       39    0.000    0.000    0.000    0.000 hooks.py:29(dispatch_hook)
       78    0.000    0.000    0.001    0.000 idna.py:147(encode)
       78    0.000    0.000    0.000    0.000 message.py:121(__init__)
      156    0.000    0.000    0.001    0.000 message.py:30(_splitparam)
       39    0.000    0.000    0.000    0.000 message.py:304(set_payload)
       39    0.000    0.000    0.001    0.000 message.py:452(items)
       39    0.000    0.000    0.001    0.000 message.py:460(<listcomp>)
      351    0.001    0.000    0.003    0.000 message.py:463(get)
      273    0.000    0.000    0.000    0.000 message.py:480(set_raw)
      156    0.001    0.000    0.001    0.000 message.py:498(get_all)
      156    0.001    0.000    0.003    0.000 message.py:565(get_content_type)
      117    0.000    0.000    0.002    0.000 message.py:589(get_content_maintype)
       39    0.000    0.000    0.001    0.000 models.py:163(register_hook)
       39    0.000    0.000    0.000    0.000 models.py:172(<genexpr>)
       39    0.000    0.000    0.000    0.000 models.py:210(__init__)
       39    0.000    0.000    0.000    0.000 models.py:283(__init__)
       39    0.000    0.000    0.012    0.000 models.py:298(prepare)
       39    0.000    0.000    0.000    0.000 models.py:328(prepare_method)
       39    0.001    0.000    0.005    0.000 models.py:334(prepare_url)
       39    0.000    0.000    0.002    0.000 models.py:407(prepare_headers)
      234    0.000    0.000    0.000    0.000 models.py:411(<genexpr>)
       39    0.000    0.000    0.000    0.000 models.py:415(prepare_body)
       39    0.000    0.000    0.000    0.000 models.py:470(prepare_content_length)
       39    0.000    0.000    0.001    0.000 models.py:482(prepare_auth)
       39    0.000    0.000    0.003    0.000 models.py:504(prepare_cookies)
       39    0.000    0.000    0.001    0.000 models.py:524(prepare_hooks)
       39    0.000    0.000    0.000    0.000 models.py:53(path_url)
       39    0.001    0.000    0.003    0.000 models.py:552(__init__)
       39    0.000    0.000    0.000    0.000 models.py:642(is_redirect)
       39    0.000    0.000    0.000    0.000 models.py:659(iter_content)
       79    0.000    0.000    0.006    0.000 models.py:669(generate)
      117    0.000    0.000    0.007    0.000 models.py:736(content)
       39    0.000    0.000    0.001    0.000 models.py:74(_encode_params)
       39    0.000    0.000    0.001    0.000 models.py:760(text)
       78    0.001    0.000    0.002    0.000 ntpath.py:304(expanduser)
       78    0.000    0.000    0.000    0.000 ntpath.py:35(_get_bothseps)
     3822    0.005    0.000    0.010    0.000 os.py:676(__getitem__)
     3510    0.002    0.000    0.002    0.000 os.py:699(__iter__)
     3822    0.002    0.000    0.002    0.000 os.py:738(check_str)
     3822    0.002    0.000    0.005    0.000 os.py:744(encodekey)
      819    0.002    0.000    0.002    0.000 parse.py:100(_coerce_args)
       39    0.000    0.000    0.000    0.000 parse.py:137(username)
       39    0.000    0.000    0.000    0.000 parse.py:168(_userinfo)
       39    0.000    0.000    0.001    0.000 parse.py:252(geturl)
      312    0.002    0.000    0.005    0.000 parse.py:288(urlparse)
       13    0.000    0.000    0.000    0.000 parse.py:313(_splitnetloc)
      351    0.001    0.000    0.002    0.000 parse.py:321(urlsplit)
       78    0.000    0.000    0.001    0.000 parse.py:377(urlunparse)
       78    0.000    0.000    0.001    0.000 parse.py:388(urlunsplit)
       39    0.000    0.000    0.000    0.000 parse.py:527(unquote)
       39    0.000    0.000    0.001    0.000 parse.py:670(quote)
       39    0.000    0.000    0.000    0.000 parse.py:731(quote_from_bytes)
       39    0.000    0.000    0.000    0.000 parse.py:753(urlencode)
      819    0.000    0.000    0.000    0.000 parse.py:89(_noop)
