[95mAlphaBeta[0m
         1457038397 function calls (-531564769 primitive calls) in 5076.367 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        8    0.000    0.000    0.000    0.000 parse.py:388(urlunsplit)
        4    0.000    0.000    0.000    0.000 parse.py:527(unquote)
        4    0.000    0.000    0.000    0.000 parse.py:670(quote)
        4    0.000    0.000    0.000    0.000 parse.py:731(quote_from_bytes)
        4    0.000    0.000    0.000    0.000 parse.py:753(urlencode)
       84    0.000    0.000    0.000    0.000 parse.py:89(_noop)
        4    0.000    0.000    0.000    0.000 parser.py:18(__init__)
        4    0.000    0.000    0.002    0.000 parser.py:42(parse)
        4    0.000    0.000    0.002    0.000 parser.py:60(parsestr)
        4    0.000    0.000    0.000    0.000 platform.py:1135(system)
        4    0.000    0.000    0.000    0.000 platform.py:1154(release)
        8    0.000    0.000    0.000    0.000 platform.py:1221(_sys_version)
        4    0.000    0.000    0.000    0.000 platform.py:1321(python_implementation)
        4    0.000    0.000    0.000    0.000 platform.py:1334(python_version)
        8    0.000    0.000    0.000    0.000 platform.py:997(uname)
        4    0.000    0.000    0.001    0.000 poolmanager.py:101(connection_from_host)
        4    0.000    0.000    0.001    0.000 poolmanager.py:129(connection_from_url)
        8    0.000    0.000    0.000    0.000 poolmanager.py:61(__init__)
        4    0.000    0.000    0.001    0.000 poolmanager.py:65(<lambda>)
        4    0.000    0.000    0.001    0.000 poolmanager.py:75(_new_pool)
        8    0.000    0.000    0.001    0.000 poolmanager.py:92(clear)
       44    0.000    0.000    0.000    0.000 queue.py:115(put)
       48    0.000    0.000    0.001    0.000 queue.py:147(get)
        4    0.000    0.000    0.000    0.000 queue.py:236(_init)
       92    0.000    0.000    0.000    0.000 queue.py:239(_qsize)
       44    0.000    0.000    0.000    0.000 queue.py:242(_put)
       44    0.000    0.000    0.000    0.000 queue.py:245(_get)
        4    0.000    0.000    0.000    0.000 queue.py:27(__init__)
        1    0.000    0.000    0.000    0.000 random.py:220(_randbelow)
        1    0.000    0.000    0.000    0.000 random.py:250(choice)
        8    0.000    0.000    0.002    0.000 request.py:2383(getproxies_environment)
        4    0.000    0.000    0.000    0.000 request.py:2510(getproxies_registry)
        4    0.000    0.000    0.001    0.000 request.py:2555(getproxies)
        4    0.000    0.000    0.000    0.000 request.py:2564(proxy_bypass_registry)
        4    0.000    0.000    0.001    0.000 request.py:2614(proxy_bypass)
       12    0.000    0.000    0.000    0.000 request.py:43(__init__)
       13    0.000    0.000    0.000    0.000 response.py:1(is_fp_closed)
        8    0.000    0.000    0.000    0.000 response.py:131(<genexpr>)
        8    0.000    0.000    0.000    0.000 response.py:152(release_conn)
        9    0.000    0.000    0.000    0.000 response.py:176(_init_decoder)
        9    0.000    0.000    0.000    0.000 response.py:186(_decode)
        9    0.000    0.000    0.001    0.000 response.py:205(read)
        9    0.000    0.000    0.001    0.000 response.py:286(stream)
        4    0.000    0.000    0.000    0.000 response.py:312(from_httplib)
        4    0.000    0.000    0.000    0.000 response.py:352(closed)
        4    0.000    0.000    0.000    0.000 response.py:97(__init__)
        8    0.000    0.000    0.000    0.000 retry.py:112(__init__)
        4    0.000    0.000    0.000    0.000 retry.py:192(is_forced_retry)
        4    0.000    0.000    0.001    0.000 sessions.py:286(__init__)
        4    0.000    0.000    0.003    0.001 sessions.py:346(prepare_request)
        4    0.000    0.000    0.138    0.035 sessions.py:386(request)
       28    0.000    0.000    0.001    0.000 sessions.py:42(merge_setting)
        4    0.000    0.000    0.132    0.033 sessions.py:539(send)
        4    0.000    0.000    0.000    0.000 sessions.py:594(<listcomp>)
        4    0.000    0.000    0.003    0.001 sessions.py:609(merge_environment_settings)
        4    0.000    0.000    0.000    0.000 sessions.py:633(get_adapter)
        4    0.000    0.000    0.001    0.000 sessions.py:643(close)
        8    0.000    0.000    0.000    0.000 sessions.py:648(mount)
        8    0.000    0.000    0.000    0.000 sessions.py:654(<listcomp>)
       32    0.000    0.000    0.000    0.000 sessions.py:70(<genexpr>)
        4    0.000    0.000    0.000    0.000 sessions.py:75(merge_hooks)
        4    0.000    0.000    0.000    0.000 sessions.py:92(resolve_redirects)
        8    0.000    0.000    0.000    0.000 six.py:267(itervalues)
        4    0.000    0.000    0.000    0.000 socket.py:129(__init__)
        4    0.000    0.000    0.000    0.000 socket.py:204(makefile)
        4    0.000    0.000    0.000    0.000 socket.py:389(_decref_socketios)
        4    0.000    0.000    0.000    0.000 socket.py:395(_real_close)
        4    0.000    0.000    0.000    0.000 socket.py:399(close)
        4    0.000    0.000    0.000    0.000 socket.py:545(__init__)
        7    0.000    0.000    0.119    0.017 socket.py:557(readinto)
       11    0.000    0.000    0.000    0.000 socket.py:596(readable)
        4    0.000    0.000    0.000    0.000 socket.py:634(close)
        4    0.000    0.000    0.003    0.001 socket.py:711(getaddrinfo)
       16    0.000    0.000    0.000    0.000 socket.py:87(_intenum_converter)
       24    0.000    0.000    0.001    0.000 structures.py:42(__init__)
      104    0.000    0.000    0.000    0.000 structures.py:48(__setitem__)
       64    0.000    0.000    0.000    0.000 structures.py:53(__getitem__)
       16    0.001    0.000    0.001    0.000 structures.py:59(__iter__)
       92    0.000    0.000    0.000    0.000 structures.py:60(<genexpr>)
        4    0.000    0.000    0.000    0.000 structures.py:62(__len__)
        4    0.000    0.000    0.000    0.000 structures.py:82(copy)
       12    0.000    0.000    0.000    0.000 threading.py:213(__init__)
       92    0.000    0.000    0.000    0.000 threading.py:237(__enter__)
       92    0.000    0.000    0.000    0.000 threading.py:240(__exit__)
       88    0.000    0.000    0.000    0.000 threading.py:252(_is_owned)
       88    0.000    0.000    0.000    0.000 threading.py:332(notify)
       28    0.000    0.000    0.000    0.000 threading.py:72(RLock)
       48    0.000    0.000    0.000    0.000 timeout.py:104(_validate_timeout)
        4    0.000    0.000    0.000    0.000 timeout.py:12(current_time)
        4    0.000    0.000    0.000    0.000 timeout.py:138(from_float)
        8    0.000    0.000    0.000    0.000 timeout.py:154(clone)
        4    0.000    0.000    0.000    0.000 timeout.py:169(start_connect)
       12    0.000    0.000    0.000    0.000 timeout.py:193(connect_timeout)
        4    0.000    0.000    0.000    0.000 timeout.py:211(read_timeout)
       16    0.000    0.000    0.000    0.000 timeout.py:94(__init__)
        8    0.000    0.000    0.000    0.000 url.py:121(parse_url)
        8    0.000    0.000    0.000    0.000 url.py:16(__new__)
        8    0.000    0.000    0.000    0.000 url.py:88(split_first)
       28    0.000    0.000    0.000    0.000 utils.py:147(to_key_val_list)
        4    0.000    0.000    0.000    0.000 utils.py:308(get_encoding_from_headers)
        4    0.000    0.000    0.000    0.000 utils.py:346(iter_slices)
        4    0.000    0.000    0.000    0.000 utils.py:395(unquote_unreserved)
        4    0.000    0.000    0.000    0.000 utils.py:417(requote_uri)
        4    0.000    0.000    0.002    0.000 utils.py:487(should_bypass_proxies)
        4    0.000    0.000    0.000    0.000 utils.py:491(<lambda>)
        4    0.000    0.000    0.000    0.000 utils.py:50(super_len)
       56    0.000    0.000    0.000    0.000 utils.py:51(_has_surrogates)
        4    0.000    0.000    0.003    0.001 utils.py:532(get_environ_proxies)
        4    0.000    0.000    0.000    0.000 utils.py:540(default_user_agent)
        4    0.000    0.000    0.000    0.000 utils.py:571(default_headers)
        4    0.000    0.000    0.000    0.000 utils.py:663(get_auth_from_url)
       24    0.000    0.000    0.000    0.000 utils.py:676(to_native_string)
        4    0.000    0.000    0.001    0.000 utils.py:70(get_netrc_auth)
       45    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x000000001D3EAB40}
        2    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_encode}
        4    0.003    0.001    0.003    0.001 {built-in method _socket.getaddrinfo}
        4    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        4    0.000    0.000    0.000    0.000 {built-in method builtins.all}
   161766    0.374    0.000    0.758    0.000 {built-in method builtins.any}
        1    0.000    0.000 5076.367 5076.367 {built-in method builtins.exec}
       32    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
      128    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
-2072348293  180.723   -0.000  180.723   -0.000 {built-in method builtins.id}
      860    0.000    0.000    0.001    0.000 {built-in method builtins.isinstance}
       19    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
1421800/1421796    0.241    0.000    0.241    0.000 {built-in method builtins.len}
  2196501    1.214    0.000    1.214    0.000 {built-in method builtins.max}
       46    0.000    0.000    0.000    0.000 {built-in method builtins.min}
       11    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.print}
       24    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        4    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        2    0.000    0.000    0.000    0.000 {built-in method now}
        8    0.000    0.000    0.000    0.000 {built-in method nt.stat}
       20    0.000    0.000    0.000    0.000 {built-in method time.time}
        8    0.000    0.000    0.000    0.000 {built-in method utcnow}
        8    0.000    0.000    0.000    0.000 {built-in method winreg.OpenKey}
       12    0.000    0.000    0.000    0.000 {built-in method winreg.QueryValueEx}
        8    0.000    0.000    0.000    0.000 {function HTTPResponse.close at 0x000000000292EEA0}
        4    0.000    0.000    0.000    0.000 {function HTTPResponse.flush at 0x000000000292EF28}
        4    0.000    0.000    0.000    0.000 {method 'Close' of 'PyHKEY' objects}
       92    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
       92    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
        7    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
        7    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
